,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,0,1901,49.2,65.75,29.2,2.3,231.3,517.5,365.1,481.1,332.6,348.35,111.6,33.6,2877.275,119.25,455.9875,1696.3,477.11250000000007
1,0,1902,0.0,65.75,12.2,0.0,231.3,537.1,228.9,709.8499999999999,513.9625,197.2,111.6,44.1,2877.275,119.25,455.9875,2185.9,477.11250000000007
2,0,1903,12.7,65.75,0.0,1.0,231.3,479.9,728.4,326.7,339.0,181.2,111.6,44.1,2877.275,119.25,236.1,1874.0,477.11250000000007
3,0,1904,9.4,14.7,0.0,119.3125,231.3,495.1,502.0,160.1,513.9625,222.2,111.6,40.1,2877.275,24.1,455.9875,1977.6,477.11250000000007
4,0,1905,1.3,0.0,3.3,26.9,231.3,628.7,368.7,330.5,297.0,260.7,25.4,44.1,2566.7,1.3,309.7,1624.9,477.11250000000007
5,0,1906,36.6,0.0,0.0,0.0,231.3,654.4375,247.7,320.5,164.3,267.8,111.6,44.1,2534.4,36.6,455.9875,1465.8,475.9
6,0,1907,54.1,0.0,76.75,21.6,231.3,305.2,443.9,377.6,200.4,264.4,111.6,44.1,2877.275,110.7,455.9875,1327.1,477.11250000000007
7,0,1908,20.9,65.75,0.0,29.0,231.3,654.4375,481.4,699.9,428.8,170.7,111.6,44.1,2877.275,106.0,455.9875,2303.7,477.11250000000007
8,0,1910,26.6,22.7,76.75,89.3,224.5,472.7,264.3,337.4,513.9625,208.2,111.6,44.1,2877.275,49.3,455.9875,1701.0,477.11250000000007
9,0,1911,0.0,8.4,0.0,119.3125,231.3,649.0,253.0,187.1,464.5,333.8,94.5,44.1,2687.2,8.4,449.8,1553.6,477.11250000000007
10,0,1912,54.1,0.8,0.0,21.9,140.7,549.8,468.9,370.3,386.2,318.7,111.6,2.3,2877.275,119.25,162.6,1775.2,438.2
11,0,1913,54.1,0.5,1.3,2.5,190.7,530.0,280.8,205.8,513.9625,288.8,111.6,44.1,2365.8,85.3,194.5,1596.7,477.11250000000007
12,0,1914,0.0,0.0,0.0,37.7,231.3,383.3,782.1499999999999,520.5,310.8,139.8,111.6,44.1,2877.275,0.0,336.5,2007.4,477.11250000000007
13,0,1915,45.0,56.7,33.3,40.9,170.2,334.7,269.0,317.2,429.8,348.35,111.6,44.1,2741.3,101.7,244.4,1350.7,477.11250000000007
14,0,1916,0.0,0.0,0.0,0.5,231.3,450.1,317.3,425.0,513.9625,348.35,111.6,44.1,2877.275,0.0,455.9875,1753.6,477.11250000000007
15,0,1917,8.0,3.6,76.75,4.5,231.3,301.1,394.8,437.4,471.8,238.1,108.3,44.1,2612.4,11.6,412.4,1605.1,477.11250000000007
16,0,1918,54.1,6.9,11.4,10.7,231.3,654.4375,200.9,455.4,303.3,227.0,111.6,44.1,2877.275,84.3,455.9875,1670.4,477.11250000000007
17,0,1919,10.2,18.0,0.0,35.5,231.3,542.5,246.5,259.8,170.7,186.2,111.6,44.1,2352.1,28.2,319.4,1219.5,477.11250000000007
18,0,1920,54.1,7.4,3.1,13.0,231.3,546.9,294.4,467.4,505.4,348.35,111.6,44.1,2877.275,119.25,253.5,1814.1,477.11250000000007
19,0,1921,13.2,3.1,0.0,37.5,231.3,282.7,487.1,330.0,513.9625,348.35,111.6,41.5,2606.4,16.3,388.7,1681.0,477.11250000000007
20,0,1922,54.1,34.3,15.6,119.3125,231.3,506.1,425.8,307.4,511.7,162.0,111.6,44.1,2877.275,119.25,455.9875,1751.0,477.11250000000007
21,0,1923,54.1,0.0,27.412912482066,91.3,231.3,654.4375,636.9,182.2,513.9625,131.9,111.6,44.1,1409.4492071119655,79.5,155.82091409428094,2188.0,399.9
22,0,1924,28.7,0.0,14.8,89.7,191.2,261.2,493.3,290.9,251.2,331.1,111.6,18.968645284825275,1409.4492071119655,28.7,295.7,1296.6,153.64862275449102
23,0,1925,36.6,0.0,8.6,50.4,231.3,654.4375,241.8,278.2,201.9,249.5,111.6,44.1,2480.5,36.6,341.2,1385.7,477.11250000000007
24,0,1926,54.1,0.0,0.0,0.5,198.4,370.0,195.3,523.7,513.9625,348.35,111.6,44.1,2877.275,119.25,198.9,1808.3,477.11250000000007
25,0,1927,3.0,17.5,17.8,108.6,231.3,433.3,195.2,370.1,126.2,327.5,111.6,44.1,2442.9,20.5,455.9875,1124.8,477.11250000000007
26,0,1928,50.9,65.75,76.75,119.3125,231.3,410.2,406.3,391.5,404.8,348.35,99.5,13.5,2877.275,118.5,455.9875,1612.8,477.11250000000007
27,0,1929,54.1,65.75,76.75,69.8,231.3,588.8,134.0,644.7,172.9,348.35,111.6,13.5,2877.275,119.25,455.9875,1540.4,477.11250000000007
28,0,1930,54.1,65.75,76.75,10.9,231.3,533.6,317.9,446.7,513.9625,82.3,111.6,44.1,2877.275,119.25,373.6,1975.4,477.11250000000007
29,0,1931,25.3,0.0,2.5,2.5,205.4,393.5,289.3,571.0,294.4,348.35,22.8,44.1,2357.7,25.3,210.4,1548.2,477.11250000000007
30,0,1932,2.8,2.5,10.1,58.2,231.3,230.11747549605545,347.02004305190144,289.74218451242825,197.31633189861307,95.32470700789284,39.49643284654058,18.968645284825275,1409.4492071119655,5.3,455.9875,1063.851579703207,153.64862275449102
31,0,1933,4.5,11.7,8.1,58.4,231.3,544.2,376.6,294.1,513.9625,239.8,111.6,44.1,2877.275,16.2,431.9,1973.9,477.11250000000007
32,0,1934,7.3,65.75,6.9,119.3125,62.0,654.4375,323.5,709.8499999999999,513.9625,338.1,111.6,44.1,2877.275,119.25,200.3,2349.75,477.11250000000007
33,0,1935,6.6,0.0,0.5,119.3125,231.3,374.1,368.7,411.6,513.9625,182.4,111.6,44.1,2877.275,6.6,455.9875,1733.3,477.11250000000007
34,0,1936,16.5,15.3,76.75,43.07184512428299,194.3,498.3,664.8,562.9,383.8,174.9,111.6,44.1,1409.4492071119655,31.8,155.82091409428094,2109.8,477.11250000000007
35,0,1937,21.6,10.7,0.0,112.0,231.3,654.4375,449.5,332.0,349.5,348.35,111.6,44.1,2877.275,32.3,442.5,1863.8,477.11250000000007
36,0,1938,13.4,57.2,50.5,101.6,231.3,654.4375,318.2,397.1,513.9625,318.4,111.6,44.1,2877.275,70.6,455.9875,1930.6,477.11250000000007
37,0,1939,54.1,1.5,16.1,77.3,231.3,541.0,335.6,202.8,512.5,263.9,111.6,44.1,2782.5,55.6,455.9875,1591.9,477.11250000000007
38,0,1940,0.5,2.8,59.4,0.0,231.3,335.4,268.1,709.8499999999999,477.5,114.1,111.6,44.1,2877.275,3.3,380.1,1970.2,477.11250000000007
39,0,1941,0.0,12.8,0.0,77.8,231.3,497.0,302.5,311.9,513.9625,348.35,111.6,44.1,2877.275,12.8,329.7,1627.4,477.11250000000007
40,0,1942,39.2,7.4,27.412912482066,43.07184512428299,85.66086021505376,230.11747549605545,347.02004305190144,289.74218451242825,197.31633189861307,95.32470700789284,39.49643284654058,18.968645284825275,1409.4492071119655,46.6,155.82091409428094,1063.851579703207,153.64862275449102
41,0,1946,54.1,3.6,21.1,119.3125,231.3,535.9,189.0,367.4,478.3,276.9,111.6,44.1,2791.6,88.0,455.9875,1570.6,477.11250000000007
42,0,1947,25.1,65.75,63.2,119.3125,206.3,654.4375,490.0,293.7,197.31633189861307,348.35,67.5,44.1,1409.4492071119655,119.25,397.2,1063.851579703207,477.11250000000007
43,0,1949,0.0,56.4,0.0,119.3125,231.3,654.4375,743.3,404.0,513.9625,339.6,81.1,7.0,2877.275,56.4,455.9875,2349.75,427.7
44,0,1950,0.8,0.0,0.0,95.5,231.3,369.9,366.7,347.3,494.5,224.6,89.3,44.1,2422.2,0.8,359.7,1578.4,477.11250000000007
45,0,1951,54.1,7.2,0.0,45.4,231.3,619.9,665.3,101.3,360.9,348.35,111.6,44.1,2877.275,89.9,304.4,1747.4,477.11250000000007
46,0,1952,0.0,0.8,69.7,39.4,231.3,654.4375,385.5,541.3,240.3,315.6,111.6,44.1,2877.275,0.8,455.9875,1824.8,477.11250000000007
47,0,1953,54.1,65.3,20.1,119.3125,231.3,549.9,444.4,262.8,370.1,243.6,111.6,44.1,2721.9,119.25,420.5,1627.1,477.11250000000007
48,0,1954,54.1,2.1,34.3,58.0,231.3,539.4,510.8,605.4,513.9625,247.2,84.8,44.1,2877.275,85.9,455.9875,2349.75,456.7
49,0,1955,54.1,28.2,9.9,68.8,231.3,651.1,298.4,356.9,341.8,348.35,111.6,44.1,2877.275,85.5,455.9875,1648.3,477.11250000000007
50,0,1956,49.2,65.75,33.8,119.3125,231.3,343.1,468.4,467.7,325.1,348.35,111.6,44.1,2877.275,119.25,455.9875,1604.4,477.11250000000007
51,0,1957,28.0,19.3,4.6,19.0,142.4,654.4375,316.2,421.3,354.3,299.7,88.6,44.1,2507.2,47.3,166.0,1833.6,460.3
52,0,1958,22.9,14.3,30.4,24.6,231.3,530.7,440.7,388.4,350.6,265.2,111.6,44.1,2807.4,37.2,410.2,1710.4,477.11250000000007
53,0,1959,10.1,1.8,31.3,86.7,231.3,455.7,782.1499999999999,409.3,513.9625,332.7,111.6,44.1,2877.275,11.9,356.1,2271.7,477.11250000000007
54,0,1960,54.1,65.75,12.1,53.5,231.3,541.5,308.4,270.7,442.4,348.35,111.6,44.1,2877.275,119.25,455.9875,1563.0,477.11250000000007
55,0,1961,54.1,65.75,33.2,88.1,231.3,383.3,304.9,557.1,513.9625,348.35,111.6,44.1,2877.275,119.25,455.9875,1857.3,477.11250000000007
56,0,1962,54.1,14.9,17.3,46.4,231.3,367.7,409.1,420.6,474.5,259.8,101.7,44.1,2877.275,119.25,374.1,1671.9,477.11250000000007
57,0,1963,54.1,26.8,7.4,69.5,231.3,434.7,303.3,601.2,513.9625,295.5,109.3,44.1,2877.275,106.7,336.8,1953.5,477.11250000000007
58,0,1964,54.1,21.9,3.1,18.1,231.3,465.3,287.3,472.1,513.9625,218.9,111.6,44.1,2877.275,87.4,455.9875,1745.9,477.11250000000007
59,0,1965,11.8,30.4,25.3,51.0,231.3,408.8,392.1,396.6,513.9625,290.5,111.6,44.1,2877.275,42.2,368.5,1774.3,477.11250000000007
60,0,1966,54.1,4.2,12.0,38.7,231.3,148.8,433.5,335.6,454.1,171.9,111.6,44.1,2701.2,83.9,427.6,1372.1,477.11250000000007
61,0,1967,54.1,21.6,30.0,63.4,231.3,340.8,537.8,614.3,303.5,348.35,99.7,44.1,2877.275,119.25,455.9875,1796.4,477.11250000000007
62,0,1968,22.1,1.3,4.2,81.5,231.3,545.2,519.3,242.0,496.8,281.6,111.6,44.1,2762.8,23.4,383.3,1803.3,477.11250000000007
63,0,1969,54.1,64.7,14.6,20.8,231.3,422.8,345.2,281.4,489.8,146.8,111.6,44.1,2619.0,119.25,352.7,1539.1,477.11250000000007
64,0,1970,54.1,34.0,7.8,58.2,231.3,407.3,564.6,342.9,423.5,348.35,111.6,44.1,2877.275,106.2,455.9875,1738.2,477.11250000000007
65,0,1971,41.5,32.8,37.7,35.3,231.3,394.6,421.1,327.9,470.2,348.35,111.6,44.1,2877.275,74.3,455.9875,1613.7,477.11250000000007
66,0,1972,13.7,1.7,7.5,119.3125,231.3,470.0,544.6,384.9,444.5,263.8,111.6,44.1,2877.275,15.3,455.9875,1844.0,477.11250000000007
67,0,1973,18.1,20.3,30.5,29.6,231.3,488.6,371.4,370.3,357.5,247.2,111.6,44.1,2877.275,38.5,455.9875,1587.8,477.11250000000007
68,0,1974,22.2,43.9,17.2,119.3125,231.3,343.8,257.1,456.2,321.6,348.35,111.6,44.1,2877.275,66.0,455.9875,1378.7,477.11250000000007
69,0,1975,54.1,27.5,8.0,24.2,231.3,654.4375,173.6,357.4,351.8,348.35,111.6,44.1,2877.275,119.25,395.2,1589.1,477.11250000000007
70,0,1976,20.9,9.7,0.6,119.3125,231.3,441.4,382.1,487.7,387.0,166.8,111.6,44.1,2877.275,30.6,455.9875,1698.2,477.11250000000007
71,0,1977,54.1,43.2,6.1,6.9,231.3,339.3,341.1,345.5,467.1,263.6,111.6,44.1,2388.2,119.25,288.3,1492.9,477.11250000000007
72,0,1978,54.1,29.3,18.9,63.4,231.3,462.2,656.6,346.3,310.8,243.7,83.4,44.1,2712.4,119.25,425.9,1775.9,371.6
73,0,1979,35.5,9.4,3.9,64.8,146.3,282.8,455.9,173.6,330.2,163.5,111.6,13.6,1849.4,44.9,215.0,1242.5,347.0
74,0,1980,5.5,0.8,9.2,38.8,231.3,604.2,575.7,494.4,271.9,252.0,111.6,44.1,2877.275,6.3,455.9875,1946.3,477.11250000000007
75,0,1981,11.1,27.8,1.7,94.1,231.3,600.6,344.1,510.7,452.6,242.1,111.6,44.1,2877.275,38.9,366.7,1908.0,477.11250000000007
76,0,1982,8.8,2.8,6.6,97.5,229.2,448.7,410.5,347.6,369.0,164.5,111.6,44.1,2384.5,11.6,333.3,1575.8,463.8
77,0,1983,22.1,0.0,3.1,9.1,231.3,424.3,468.9,493.8,505.5,275.8,111.6,44.1,2792.4,22.1,253.0,1892.4,477.11250000000007
78,0,1984,54.1,65.75,26.3,119.3125,162.3,424.9,446.4,125.8,283.6,347.1,111.6,44.1,2820.3,119.25,345.2,1280.7,477.11250000000007
79,0,1985,12.0,19.2,24.1,55.0,231.3,588.4,230.9,375.2,362.5,348.35,111.6,44.1,2630.8,31.2,357.2,1557.0,477.11250000000007
80,0,1986,14.8,0.6,1.5,8.2,231.3,312.2,308.5,444.0,408.9,176.1,111.6,44.1,2187.8,15.4,312.3,1473.6,386.5
81,0,1987,54.1,35.2,20.4,17.7,162.9,343.7,45.3,666.5,378.9,348.35,111.6,44.1,2764.0,107.6,200.9,1434.5,477.11250000000007
82,0,1988,10.2,39.9,28.0,82.7,231.3,357.4,495.6,354.2,513.9625,271.4,111.6,44.1,2877.275,50.1,455.9875,1810.5,477.11250000000007
83,0,1989,54.1,12.8,68.1,42.6,231.3,414.9,380.1,413.2,215.9,291.8,111.6,4.0,2533.6,68.8,455.9875,1424.1,477.11250000000007
